danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,Genre Class
0.662,0.685,4,-4.561,0,0.0302,0.125,0,0.0961,0.447,111.964,187321,51.01687884,28.79687237,-3.146518578,-12.41908885,29.00317771,-25.80325687,0.477368336,-4.376557351,-1.990862682,0.780626817,-9.973327948,2.435101777,0.562350565,0.343132472,0.359922456,0.181187399,0.403497577,0.220749596,0.282581583,0.469560582,0.243017771,0.357442649,0.22834895,0.423610662,country
0.644,0.741,9,-5.84,1,0.0235,0.0569,1.12E-06,0.193,0.693,102.007,220987,50.82924011,28.08030085,3.22525,-17.13056356,4.403759887,-20.96881921,-4.308072034,-4.384672316,-8.294971751,-0.12180791,-9.158481638,-3.04365678,0.303783898,0.378793785,0.231483051,0.182281073,0.41859322,0.178432203,0.368152542,0.194103107,0.295658192,0.413748588,0.190929379,0.458668079,country
0.649,0.4,6,-10.202,1,0.0455,0.513,1.18E-06,0.0774,0.393,157.895,200387,42.82820373,11.76854089,-2.943281205,-8.060888092,15.34500717,-8.02913056,-10.46559397,-3.991057389,-5.738764706,-4.919229555,-9.855440459,3.272777618,0.193384505,0.489958393,0.169968436,0.262335725,0.155895265,0.284938307,0.617803443,0.255126255,0.284730273,0.167532281,0.286654232,0.211494978,country
0.567,0.562,10,-4.226,0,0.0571,0.00488,0,0.0661,0.522,92.808,193360,52.41651729,51.48656432,5.679120332,-10.81363485,11.82982019,-17.82495436,-4.355431535,-1.459123098,-2.322791148,0.70073444,-12.37381604,-5.082463347,0.379910097,0.462268326,0.252788382,0.357409405,0.259781466,0.334020747,0.387266943,0.287968188,0.418944675,0.292803596,0.417070539,0.273477178,country
0.432,0.796,4,-2.952,0,0.049,0.486,0,0.355,0.563,183.935,212120,53.4183947,15.03332185,13.25926225,-14.03682119,23.01384768,-22.63597881,-5.290287417,0.73909404,2.256051656,0.399545695,-8.08613245,-0.257025166,0.503054305,0.345464901,0.358339073,0.230458278,0.424184106,0.209603974,0.317348344,0.462564238,0.239237086,0.348343046,0.268437086,0.448131126,country
0.603,0.625,6,-6.563,1,0.0258,0.302,0,0.141,0.651,96.02,192920,49.777,32.37459253,-1.358861586,-13.45381804,32.32728616,-21.34472162,-6.718533437,-6.252794712,-4.220144635,0.716615863,-10.15723017,-1.037790047,0.290245723,0.517821151,0.216595645,0.347359253,0.213953344,0.278045101,0.438041991,0.21611353,0.332143079,0.189962675,0.376895801,0.346449456,country
0.644,0.882,7,-3.146,1,0.0643,0.0414,0,0.34,0.55,99.861,225040,52.79908736,46.99852874,7.104257471,-5.609168966,8.796073563,-23.26811609,4.711465517,3.977043678,-6.236878161,6.271147126,-11.39050575,0.426094253,0.559182759,0.580195402,0.447367816,0.331972414,0.452694253,0.335263218,0.365796552,0.549595402,0.332867816,0.348296552,0.264151724,0.420891954,country
0.563,0.772,5,-6.737,1,0.0593,0.00101,1.95E-05,0.214,0.394,119.909,180243,49.18903993,23.00197743,-5.303383681,-19.70159896,-1.872772569,-28.38533854,-2.367138889,-1.274647569,-0.314005208,3.799074653,-10.29276215,-10.60444965,0.709612847,0.467328125,0.368350694,0.300395833,0.406131944,0.336699653,0.333722222,0.472085069,0.346376736,0.383944444,0.316090278,0.304008681,country
0.689,0.534,7,-6.261,1,0.0527,0.358,0,0.115,0.552,111.91,210080,46.567901,-12.88371306,-19.98667862,-20.03048063,6.496832138,-16.44263128,-9.58292109,-5.52112769,-3.682583931,-1.040989957,-12.35247202,-5.588394548,0.32204878,0.270348637,0.351289813,0.188968436,0.297715925,0.214989957,0.332004304,0.581378766,0.320299857,0.472067432,0.250855093,0.30935868,country
0.588,0.408,3,-8.662,1,0.0237,0.113,0,0.13,0.484,85.008,205453,46.73710989,21.38731083,-7.025105181,-18.4285259,11.6951303,-18.05362166,-6.01899843,-4.191806907,-4.379416013,-2.519726845,-11.55275981,-3.091529042,0.379163265,0.223320251,0.165174254,0.403849294,0.156960754,0.320260597,0.159169545,0.278,0.284897959,0.166726845,0.417494505,0.209281005,country
